Year,Aaron,Abdul,Adam,Adrian,Aidan,Aiden,Alan,Albert,Albie,Alec,Alex,Alexander,Alfie,Alfred,Allan,Andrew,Anthony,Antony,Archibald,Archie,Arlo,Arnold,Arthur,Ashley,Ashton,Austin,Bailey,Barrie,Barry,Basil,Ben,Benjamin,Bernard,Bertie,Bertram,Billy,Blake,Bobby,Bradley,Brandon,Brett,Brian,Bruce,Bryan,Caleb,Callum,Calum,Cameron,Carl,Carter,Cecil,Charles,Charlie,Christian,Christopher,Clarence,Claude,Clifford,Clive,Colin,Connor,Conor,Corey,Craig,Curtis,Cyril,Dale,Damian,Damien,Daniel,Danny,Darren,David,Dean,Declan,Denis,Dennis,Derek,Derrick,Desmond,Dexter,Dominic,Donald,Douglas,Duncan,Dylan,Edgar,Edmund,Edward,Edwin,Elijah,Elliot,Elliott,Ellis,Eric,Ernest,Ethan,Evan,Ewan,Ezra,Felix,Finlay,Finley,Finn,Francis,Frank,Frankie,Fred,Freddie,Frederick,Gabriel,Gareth,Garry,Gary,Gavin,Geoffrey,George,Gerald,Gerard,Gilbert,Glen,Glenn,Gordon,Graeme,Graham,Gregory,Guy,Harley,Harold,Harrison,Harry,Harvey,Hayden,Hector,Henry,Herbert,Horace,Howard,Hubert,Hugh,Hugo,Hunter,Iain,Ian,Ibrahim,Isaac,Ivan,Ivor,Jack,Jackson,Jacob,Jake,James,Jamie,Jason,Jasper,Jaxon,Jay,Jayden,Jeffrey,Jenson,Jeremy,Jesse,Joe,Joel,Joey,John,Jonathan,Jordan,Joseph,Josh,Joshua,Jude,Julian,Justin,Kai,Kane,Karl,Kayden,Keith,Kenneth,Kevin,Kian,Kieran,Kieron,Kyle,Laurence,Lawrence,Lee,Leigh,Leo,Leon,Leonard,Leslie,Lewis,Liam,Lionel,Logan,Louie,Louis,Luca,Lucas,Luke,Macauley,Malcolm,Marc,Marcus,Mark,Martin,Martyn,Mason,Mathew,Matthew,Maurice,Max,Melvyn,Michael,Mitchell,Mohamed,Mohammad,Mohammed,Morgan,Morris,Muhammad,Nathan,Neil,Neville,Nicholas,Nigel,Noah,Noel,Norman,Oliver,Ollie,Oscar,Owen,Patrick,Paul,Percival,Percy,Peter,Philip,Phillip,Ralph,Raymond,Reece,Reggie,Reginald,Reuben,Rhys,Richard,Ricky,Riley,Robert,Robin,Rodney,Roger,Roland,Roman,Ronald,Ronnie,Rory,Ross,Roy,Royston,Russell,Ryan,Sam,Samuel,Scott,Sean,Sebastian,Seth,Shane,Shaun,Sidney,Simon,Sonny,Spencer,Stanley,Stephen,Steven,Stewart,Stuart,Sydney,Taylor,Teddy,Terence,Terry,Theo,Theodore,Thomas,Timothy,Toby,Tom,Tommy,Tony,Trevor,Tyler,Victor,Vincent,Walter,Wayne,Wilfred,William,Zachary,Zak
1904,0,0,0,0,0,0,62,9,0,90,0,42,0,11,92,71,91,0,60,0,0,75,5,0,0,0,0,0,0,0,0,53,45,69,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,0,0,61,77,83,43,0,96,0,0,0,0,0,26,0,0,0,57,0,0,30,0,0,98,87,0,0,0,0,0,51,54,0,0,49,76,12,40,0,0,0,0,35,10,0,88,0,0,0,0,0,0,28,16,0,38,0,8,0,0,0,0,0,58,3,68,0,64,0,0,82,0,0,0,0,0,14,0,18,0,0,89,17,21,37,95,65,55,0,0,0,0,0,0,0,79,39,0,0,0,6,0,0,0,0,0,0,0,0,0,100,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,99,56,0,0,0,0,22,24,70,0,86,0,0,78,0,0,0,0,0,0,0,81,85,0,0,0,84,50,0,0,46,0,0,0,0,0,97,0,0,0,0,0,0,0,0,33,93,0,0,94,44,0,72,29,59,48,0,66,73,0,0,20,0,0,25,0,0,15,0,0,0,80,0,41,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,27,0,0,0,23,67,0,0,0,36,0,0,0,0,0,0,4,0,0,63,0,0,0,0,47,0,19,0,31,1,0,0
1914,0,0,0,0,0,0,58,8,0,84,0,53,0,14,89,67,76,0,88,0,0,75,6,0,0,0,0,0,0,92,0,63,40,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9,0,0,66,90,97,45,0,82,0,0,0,0,0,29,0,0,0,59,0,0,32,0,0,69,56,0,0,0,0,0,41,57,0,0,65,80,11,50,0,0,0,0,27,13,0,96,0,0,0,0,0,0,34,15,0,47,0,7,0,0,0,0,0,55,3,70,0,72,0,0,54,0,0,0,0,0,18,0,19,0,0,0,16,25,43,95,71,61,0,0,0,0,0,0,0,73,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,87,62,0,0,0,0,20,17,78,0,81,0,0,79,0,0,0,0,0,0,0,0,86,0,0,0,85,48,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,98,38,93,94,44,42,52,99,60,51,0,0,24,0,0,26,0,0,10,0,0,0,83,0,21,0,0,0,64,0,0,0,0,36,0,0,0,0,0,0,31,0,0,0,22,68,0,0,0,37,0,0,0,0,0,0,4,0,0,74,0,0,100,0,49,91,23,0,35,2,0,0
1924,0,0,0,0,0,0,37,13,0,94,0,54,0,27,75,73,49,0,0,0,0,81,9,0,0,0,0,0,0,80,0,83,42,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,60,14,0,0,69,0,0,48,0,61,0,0,0,0,0,35,0,0,0,72,0,0,21,0,0,58,20,52,74,65,0,0,29,38,0,0,84,96,12,56,0,0,0,0,18,23,0,0,0,0,0,0,0,0,43,19,0,63,0,10,0,0,0,0,0,36,3,51,0,95,0,0,39,0,92,0,0,0,26,0,30,0,0,0,24,46,70,93,87,71,0,0,0,85,0,0,97,77,33,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,86,7,0,0,0,0,0,100,62,0,0,0,0,25,15,98,0,90,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,47,0,0,40,0,0,0,91,0,0,0,0,0,0,0,0,0,0,22,0,0,0,99,44,88,0,67,11,53,0,64,28,0,0,31,0,0,32,0,0,8,0,0,0,82,0,6,0,0,0,41,0,0,0,0,57,0,0,0,0,0,0,45,0,0,0,17,76,0,0,0,59,0,0,68,0,0,0,5,0,0,0,0,0,79,0,50,78,34,0,55,2,0,0
1934,0,78,0,0,0,0,13,35,0,100,0,66,0,49,65,79,16,0,0,0,0,98,25,0,0,0,0,92,53,0,0,0,38,0,0,0,0,0,0,0,0,4,0,58,0,0,0,0,0,0,94,29,0,0,57,0,0,60,70,26,0,0,0,0,0,61,0,0,0,71,0,0,5,0,0,64,19,14,77,88,0,0,18,44,0,0,0,0,20,74,0,0,0,0,27,47,0,0,0,0,0,0,0,0,42,34,0,97,0,24,0,0,0,0,0,33,10,40,0,0,0,0,21,0,50,0,0,0,48,0,51,0,0,0,45,73,0,0,0,81,0,0,0,55,0,0,91,87,52,0,0,0,6,0,0,0,0,0,0,86,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,36,9,0,0,0,0,0,0,72,0,0,0,0,37,31,0,0,0,0,0,0,0,0,0,0,46,0,0,0,80,0,0,0,0,43,0,0,7,0,0,0,68,0,0,0,0,95,83,0,0,0,96,30,0,0,0,0,32,63,0,0,2,56,0,76,15,0,0,41,0,0,28,0,0,11,82,99,67,0,0,8,0,0,0,17,93,0,0,0,75,0,0,0,0,0,0,69,0,0,0,39,84,0,0,0,90,0,0,22,0,0,0,12,0,0,0,0,0,59,0,62,85,54,0,89,3,0,0
1944,0,0,0,74,0,0,8,61,0,0,0,66,0,73,58,45,6,0,0,0,0,0,47,0,0,0,0,70,20,0,0,0,37,0,0,0,0,0,0,0,0,7,92,79,0,0,0,0,0,0,0,38,0,0,16,0,0,68,50,15,0,0,0,0,0,98,0,0,0,82,0,0,2,0,0,85,34,27,0,0,0,0,53,52,0,0,0,0,29,89,0,0,0,0,39,72,0,0,0,0,0,0,0,0,54,46,0,0,0,42,0,0,0,95,0,25,21,49,0,0,0,0,44,0,22,0,0,0,75,0,65,0,0,0,63,0,0,64,0,84,0,0,0,23,0,0,91,0,81,0,0,0,10,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,14,12,67,0,0,0,0,0,83,0,0,0,0,59,35,0,0,0,0,0,0,0,0,0,0,24,0,0,0,41,0,0,0,0,62,0,78,3,0,0,0,87,0,0,0,0,80,0,76,69,0,0,43,0,0,0,0,31,28,0,0,4,32,93,90,17,0,0,71,0,0,11,0,0,5,57,48,13,0,0,26,0,0,0,30,100,0,0,0,97,0,0,0,0,0,0,99,0,0,0,60,40,0,0,55,0,0,0,18,88,0,0,19,77,0,0,0,96,33,0,56,94,86,0,0,9,0,0
1954,0,74,0,54,0,0,8,93,0,0,0,71,0,0,58,12,11,99,0,0,0,0,72,0,0,0,0,0,33,0,0,0,63,0,0,0,0,0,0,0,0,17,0,80,0,0,0,0,0,0,0,38,0,0,9,0,0,81,44,22,0,0,0,0,0,0,0,0,0,73,0,0,1,0,0,97,55,37,0,0,0,0,64,69,0,0,0,0,45,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,61,65,0,0,0,67,0,85,82,34,0,28,35,60,78,0,0,98,51,0,19,94,0,0,0,0,100,0,0,0,83,0,0,68,0,89,0,0,0,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,48,0,70,0,0,0,0,2,52,0,47,0,0,0,96,0,0,0,0,0,18,25,20,0,0,0,0,0,77,0,0,0,0,76,42,0,0,0,0,0,0,0,0,0,0,31,0,0,32,21,75,0,0,0,95,0,0,4,0,90,84,56,0,0,0,0,46,0,36,27,0,0,66,0,0,0,0,39,7,0,0,5,16,57,0,26,0,0,0,0,0,10,0,0,6,59,0,41,0,0,43,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,86,3,23,91,49,0,0,0,29,92,0,0,24,40,0,0,0,79,30,0,88,87,0,0,0,15,0,0
1964,0,0,68,30,0,0,21,0,0,0,0,77,0,0,89,3,14,46,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,31,98,0,0,0,0,0,37,0,0,56,0,0,11,0,0,0,58,25,0,0,0,60,0,0,0,0,0,53,0,66,1,44,0,0,96,43,0,0,0,100,99,81,75,0,0,0,49,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,79,70,16,97,63,54,91,90,0,0,95,74,84,26,78,85,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,94,8,0,0,0,0,0,0,0,0,19,0,93,0,0,0,0,57,0,47,0,0,0,0,5,27,0,48,0,0,0,62,0,0,0,64,0,33,41,15,0,0,0,0,0,0,50,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,65,0,0,4,18,87,0,0,52,0,0,0,6,0,0,0,73,0,0,0,0,22,0,28,23,0,0,0,0,0,0,0,35,2,0,0,12,20,59,0,45,0,0,0,0,0,10,0,0,9,69,0,61,0,0,80,0,0,0,71,0,55,0,0,0,0,36,0,0,0,40,0,13,0,0,0,7,17,83,32,0,0,0,51,86,0,0,34,24,0,0,0,67,38,0,0,72,0,39,0,29,0,0
1974,0,86,35,38,0,0,36,0,0,0,0,43,0,0,0,4,25,74,0,0,0,0,0,0,0,0,0,0,48,0,0,34,0,0,0,0,0,0,0,0,92,51,0,0,0,0,0,0,39,0,0,70,0,49,6,0,0,0,0,44,0,0,0,28,0,0,0,64,0,16,0,15,3,37,0,0,0,100,0,0,0,69,0,0,66,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,90,30,72,0,83,0,0,0,77,97,0,0,42,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,21,0,0,0,0,0,0,0,0,7,45,18,0,0,0,0,0,0,62,0,0,0,0,13,20,0,59,0,0,0,68,47,0,0,50,0,53,94,27,0,0,0,0,0,0,12,98,0,91,0,0,0,0,0,0,0,0,0,0,95,0,89,54,71,2,26,80,0,87,10,0,0,0,9,0,0,0,61,0,0,0,58,22,0,19,55,0,0,0,84,0,0,0,67,1,0,0,23,29,63,0,85,0,0,0,0,0,5,0,0,14,75,0,96,0,0,0,0,0,0,0,0,60,79,0,82,31,56,0,0,65,57,0,8,0,0,0,11,17,88,24,0,0,0,99,93,0,0,40,33,0,0,0,73,76,0,0,0,0,32,0,41,0,0
1984,53,96,12,63,0,0,58,0,0,0,79,25,0,0,0,7,24,89,0,0,0,0,0,49,0,0,0,0,81,0,45,16,0,0,0,0,0,0,92,0,0,87,0,0,0,0,0,0,44,0,0,69,0,0,1,0,0,0,0,67,0,0,0,19,0,0,76,0,97,4,86,33,3,39,0,0,0,0,0,0,0,80,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,26,55,0,71,0,0,0,0,0,0,0,59,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,0,0,0,0,74,0,0,0,2,30,41,0,0,0,0,0,0,0,0,0,0,0,14,18,93,40,0,78,0,0,91,0,0,61,0,88,0,37,0,90,0,0,0,0,15,95,0,82,0,0,66,56,0,0,0,0,0,0,29,0,0,62,0,10,36,94,0,73,6,0,0,0,5,0,0,83,54,0,0,0,57,42,0,22,0,0,0,0,48,0,0,0,65,9,0,0,23,32,64,0,0,0,0,0,0,0,8,75,0,13,99,0,0,0,0,0,0,0,60,0,0,68,28,72,43,38,46,0,0,70,52,0,21,0,0,0,20,17,98,31,0,0,0,0,84,0,0,11,47,0,0,0,77,0,0,0,0,0,50,0,34,0,0
1994,32,0,11,0,0,0,0,0,0,0,50,13,0,0,0,20,58,0,0,0,0,0,0,33,0,0,0,0,0,0,40,15,0,0,0,78,0,0,34,86,0,0,0,0,0,31,0,65,84,0,0,44,59,92,14,0,0,0,0,0,28,68,0,61,0,0,63,0,0,4,91,100,24,67,94,0,0,0,0,0,0,52,0,0,0,83,0,0,47,0,0,70,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,35,18,2,26,62,0,0,98,0,0,0,0,0,53,80,0,39,29,10,16,81,7,0,0,0,0,0,95,0,0,0,0,0,36,0,43,0,0,55,0,0,0,0,0,22,17,0,0,0,66,0,0,8,0,0,0,82,45,87,0,0,97,5,0,72,0,12,77,0,96,41,0,0,0,27,0,0,42,0,0,0,0,23,0,0,99,71,60,0,0,51,79,0,0,0,54,0,0,0,56,49,0,0,25,0,0,0,0,0,0,0,0,64,0,0,0,6,38,9,37,46,0,0,69,73,0,75,0,0,0,48,57,0,89,0,0,0,0,0,0,0,1,76,88,93,0,0,0,0,0,0,0,0,0,19,0,0
1996,33,0,16,0,83,0,0,0,0,0,43,14,0,0,0,29,65,0,0,0,0,0,0,40,0,0,0,0,0,0,34,15,0,0,0,71,0,0,31,53,0,0,0,0,0,20,91,42,0,0,0,44,38,90,25,0,0,0,0,0,13,63,0,81,78,0,0,0,0,2,98,0,32,80,84,0,0,0,0,0,0,51,0,0,0,57,0,0,45,0,0,70,88,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,86,17,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,18,4,28,69,0,0,89,0,0,0,0,0,50,75,0,46,39,11,8,94,5,0,0,0,0,99,0,0,0,0,0,0,26,0,37,0,0,64,0,0,0,0,0,24,10,0,0,0,61,0,0,12,95,0,0,85,55,0,0,0,0,6,0,56,0,22,79,0,97,36,0,0,0,27,0,0,52,0,0,0,0,23,0,0,100,66,72,0,0,59,0,0,0,0,41,0,0,0,54,62,0,0,30,0,0,0,0,0,0,0,93,68,0,0,0,7,47,9,48,49,0,0,74,76,0,87,0,0,0,60,73,0,0,0,0,0,0,0,0,0,3,82,77,0,0,0,0,67,0,0,0,0,0,21,96,0
1997,32,0,20,0,82,0,0,0,0,0,43,16,92,0,0,37,68,0,0,0,0,0,0,46,0,0,0,0,0,0,30,13,0,0,0,70,0,0,28,39,0,0,0,0,0,14,94,36,0,0,0,42,40,93,26,0,0,0,0,0,12,64,90,91,85,0,0,0,0,4,0,0,35,99,69,0,0,0,0,0,0,53,0,0,0,52,0,0,44,0,0,61,87,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,79,17,100,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,22,2,31,72,0,0,84,0,0,0,0,0,48,75,0,49,45,10,8,89,5,0,0,0,0,97,0,0,0,0,0,0,27,0,38,0,0,73,0,0,0,0,0,21,15,0,0,0,54,0,0,11,0,0,0,88,63,0,0,0,0,6,0,57,0,23,81,0,86,33,0,0,95,25,0,0,56,0,0,0,0,24,0,0,74,67,76,0,0,65,0,0,0,0,41,0,0,0,55,71,0,0,34,0,0,0,0,0,0,0,98,60,0,0,0,9,47,7,50,51,0,0,77,83,0,0,0,0,0,66,80,0,0,0,0,0,0,0,0,0,3,96,78,0,0,0,0,59,0,0,0,0,0,19,0,0
1998,31,0,21,0,81,0,0,0,0,0,46,19,71,0,0,42,74,0,0,0,0,0,0,54,0,0,0,0,0,0,29,16,0,0,0,68,0,0,33,36,0,0,0,0,0,8,0,28,0,0,0,41,35,93,32,0,0,0,0,0,11,57,98,0,0,0,0,0,0,4,0,0,39,0,85,0,0,0,0,0,0,52,0,0,0,45,0,0,44,0,0,65,90,99,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,72,15,91,0,0,56,0,0,0,0,0,0,0,0,0,0,84,0,0,1,0,27,22,3,34,80,0,0,79,0,0,0,0,0,58,76,0,53,48,10,9,86,5,0,0,0,100,94,0,0,0,0,0,0,26,0,38,0,0,73,0,0,96,0,0,18,24,0,0,0,50,0,0,13,0,0,0,88,69,0,0,0,0,6,0,51,0,23,75,0,83,30,64,0,89,25,0,0,62,0,0,0,0,20,0,0,40,66,78,0,0,67,0,0,0,0,43,0,0,0,55,82,0,0,37,0,0,0,0,0,0,0,0,63,0,0,0,12,49,7,60,61,0,0,95,97,0,0,0,0,0,70,87,0,0,0,0,0,0,0,0,0,2,0,77,92,0,0,0,59,0,0,0,0,0,14,0,0
1999,36,0,21,0,75,0,0,0,0,0,45,20,64,0,0,47,81,0,0,0,0,0,0,68,0,0,0,0,0,0,31,15,0,0,0,71,0,0,33,34,0,0,0,0,0,9,0,24,0,0,0,41,32,0,38,0,0,0,0,0,22,66,0,0,0,0,0,0,0,5,0,0,42,0,73,0,0,0,0,0,0,60,0,0,0,46,0,0,43,0,0,67,96,90,0,0,40,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,62,14,84,0,0,51,0,0,0,0,0,0,0,0,0,0,79,0,0,1,0,28,23,3,30,83,0,0,65,0,0,0,0,0,53,70,0,57,55,16,8,0,4,0,0,0,89,0,0,0,0,0,0,0,27,0,37,0,0,91,0,0,87,0,0,13,17,0,0,0,49,0,100,12,0,0,0,93,78,0,0,99,0,6,0,48,0,26,76,0,80,29,52,0,82,25,0,0,61,0,0,0,0,19,0,88,35,69,94,0,0,72,0,0,0,0,44,0,0,0,54,97,0,0,39,0,0,0,0,0,0,0,0,63,0,0,0,11,50,7,58,59,0,0,0,0,0,0,0,0,0,74,92,0,0,0,98,0,0,0,0,0,2,0,77,85,0,0,0,56,0,0,0,0,0,10,95,0
